X,Y,WaterSurfaceElevation
1729.97,849.49,836.913
1731.35,798.71,836.917
1741.34,864.26,836.925
1754.66,883.96,836.927
1732.65,787.92,836.929
1727.78,825.89,836.935
1738.33,762.18,836.94
1726.32,830.61,836.94
1733.84,854.91,836.944
1731.65,793.22,836.945
1732.94,804.34,836.947
1731.34,815.14,836.955
1727.23,845.46,836.955
1745.96,869.07,836.957
1733.35,782.41,836.958
1724.66,841.38,836.959
1732.55,809.81,836.961
1729.66,820.79,836.973
1724.68,836.40,836.975
1733.47,778.23,836.976
1735.02,772.78,836.986
1766.66,903.05,836.989
1736.41,769.10,836.992
1737.96,764.82,836.993
1761.16,892.46,836.995
1769.58,908.50,836.996
1786.24,930.04,836.999
1785.22,925.06,837.006
1764.07,898.47,837.007
1737.34,859.66,837.015
1537.63,603.96,837.016
1787.45,935.91,837.018
1651.96,658.64,837.021
1684.31,673.71,837.023
1700.52,701.64,837.024
1653.78,703.79,837.024
1759.19,888.91,837.029
1573.63,632.76,837.033
1670.15,711.13,837.034
1693.78,683.59,837.035
1675.32,682.09,837.036
1682.28,703.46,837.037
1634.05,697.58,837.039
1678.97,690.15,837.04
1682.02,698.59,837.041
1557.28,620.55,837.041
1681.02,693.12,837.043
1778.80,914.85,837.044
1671.28,665.90,837.046
1696.64,693.14,837.049
1676.67,711.58,837.051
1674.51,709.08,837.053
1474.14,564.03,837.054
1617.45,678.24,837.055
1661.31,666.90,837.057
1562.86,624.16,837.059
1680.50,710.26,837.061
1772.65,911.35,837.062
1678.83,688.13,837.062
1672.50,707.36,837.062
1671.50,678.51,837.063
1653.93,663.69,837.063
1618.63,677.00,837.063
1734.56,756.15,837.065
1655.68,654.41,837.066
1669.14,708.50,837.067
1662.41,707.84,837.068
1674.37,668.85,837.07
1647.71,650.03,837.07
1703.03,707.51,837.072
1670.55,676.46,837.072
1700.96,701.88,837.073
1655.39,664.94,837.073
1627.30,693.59,837.073
1603.33,668.50,837.073
1578.95,635.89,837.073
1612.74,678.30,837.074
1679.21,699.36,837.077
1596.55,661.01,837.077
1781.88,919.00,837.079
1702.79,711.98,837.079
1653.18,648.89,837.079
1649.53,654.71,837.08
1605.57,671.14,837.08
1696.72,687.89,837.081
1663.62,670.21,837.081
1567.54,628.09,837.081
1702.94,720.17,837.082
1668.83,664.89,837.082
1583.92,646.19,837.082
1645.18,698.70,837.086
1612.69,676.79,837.086
1703.90,716.45,837.087
1524.48,594.29,837.087
1648.91,648.36,837.088
1488.68,571.73,837.088
1724.53,752.83,837.089
1611.51,676.57,837.089
1690.19,681.51,837.091
1620.62,687.56,837.091
1531.81,599.16,837.091
1502.93,580.31,837.091
1612.33,675.71,837.093
1543.76,608.93,837.093
1495.81,576.74,837.093
1678.24,669.95,837.094
1611.09,673.26,837.098
1665.21,662.48,837.099
1510.14,585.36,837.1
1738.38,760.72,837.101
1705.74,721.35,837.101
1660.36,659.04,837.101
1602.71,666.08,837.101
1588.72,651.33,837.105
1579.17,639.90,837.105
1517.40,589.82,837.105
1729.33,753.93,837.106
1686.24,676.36,837.106
1718.14,743.37,837.107
1482.21,566.84,837.109
1708.99,730.59,837.111
1595.50,657.93,837.111
1721.25,748.25,837.113
1708.56,725.23,837.115
1552.64,616.91,837.116
1692.15,682.13,837.117
1200.81,582.72,836.273
1140.20,523.50,836.28
1255.86,601.45,836.283
1129.30,526.18,836.285
1240.60,596.70,836.286
1107.49,521.63,836.286
1215.95,589.31,836.287
1037.85,500.44,836.289
1208.62,586.12,836.291
1182.18,560.13,836.292
1184.26,566.25,836.293
1159.37,531.82,836.296
1002.44,497.33,836.296
1189.53,571.65,836.297
1006.27,530.84,836.301
1223.86,591.91,836.304
1017.01,497.08,836.306
1169.16,555.44,836.308
1249.67,598.58,836.308
977.18,503.28,836.309
989.04,491.62,836.309
986.43,509.30,836.311
1178.26,557.77,836.313
990.19,513.42,836.315
1009.64,519.87,836.316
1154.73,527.01,836.316
1048.63,503.03,836.317
1100.51,520.56,836.319
1135.10,525.72,836.321
1004.13,518.62,836.323
996.51,496.24,836.323
1016.43,521.00,836.324
1166.68,540.88,836.324
992.03,495.10,836.325
1151.44,524.29,836.329
1008.91,497.65,836.329
1079.56,515.55,836.331
983.55,506.49,836.332
1012.12,525.96,836.333
996.99,516.66,836.333
1122.18,529.06,836.333
1069.71,511.93,836.335
1033.02,499.92,836.336
1164.03,547.21,836.337
994.24,540.74,836.342
979.14,498.87,836.342
1111.32,523.72,836.342
1116.66,526.00,836.345
1096.79,519.62,836.346
1060.44,507.18,836.346
978.09,491.02,836.347
1090.03,516.98,836.349
1028.74,497.65,836.349
1055.03,505.82,836.352
905.48,536.27,836.353
900.60,536.31,836.356
1000.30,535.67,836.356
1021.15,497.17,836.356
975.13,493.57,836.357
984.17,489.88,836.357
1066.51,510.15,836.357
1164.08,537.13,836.36
983.56,489.80,836.36
1075.51,513.80,836.361
978.05,491.10,836.363
943.85,546.50,836.365
1043.01,502.05,836.368
981.98,549.63,836.369
1084.03,517.28,836.369
910.53,537.03,836.371
957.15,550.14,836.375
964.02,551.59,836.375
987.05,546.24,836.375
936.49,544.47,836.377
930.37,542.72,836.383
949.93,548.39,836.383
923.10,540.86,836.384
976.12,552.09,836.384
918.13,539.20,836.387
915.27,536.49,836.389
