X,Y,VelocityX,VelocityY
1482,647,-1.9778,-1.0417
1692,847,-1.937,-2.3478
1732,887,-1.9296,-2.2991
1702,847,-1.9258,-1.819
1482,657,-1.8412,-0.77828
1682,857,-1.7398,-1.834
1722,887,-1.7123,-2.7383
1492,637,-1.6646,-0.94029
1652,817,-1.6621,-1.9929
1532,687,-1.649,-1.2918
1632,797,-1.533,-2.1263
1662,807,-1.5141,-2.0338
1642,787,-1.4619,-1.2876
1572,707,-1.4401,-1.4704
1492,627,-1.4297,-0.80914
1472,667,-1.4139,-0.505
1642,827,-1.4047,-1.752
1602,747,-1.3997,-1.8331
1742,877,-1.3858,-1.4084
1632,797,-1.3403,-2.13
1502,627,-1.3364,-0.81815
1532,677,-1.3242,-1.3628
1522,687,-1.3194,-0.8487
1542,667,-1.3042,-1.0932
1592,737,-1.3031,-1.7412
1672,857,-1.275,-1.6917
1612,777,-1.2339,-2.0655
1572,697,-1.2323,-1.5697
1502,617,-1.2146,-0.82685
1562,717,-1.1943,-1.5145
1622,777,-1.1672,-2.1608
1622,807,-1.1451,-1.2578
1612,747,-1.0946,-1.8707
1552,647,-1.055,-0.8985
1602,727,-1.0326,-1.5671
1462,677,-1.0256,-0.39723
1582,687,-1.0249,-1.4878
1602,757,-1.0204,-2.0027
1612,787,-1.0182,-1.9599
1552,657,-1.0013,-1.0471
1512,607,-0.9755,-0.75468
1632,827,-0.84187,-0.85452
1562,637,-0.8126,-0.74035
1592,767,-0.80091,-1.8758
1582,737,-0.78559,-1.3909
1512,597,-0.77293,-0.58967
1632,767,-0.77073,-1.5373
1592,687,-0.74454,-1.3892
1522,697,-0.73809,-0.23488
1672,807,-0.7188,-0.49051
1652,787,-0.70718,-1.14
1602,727,-0.68411,-1.4771
1752,877,-0.65759,-0.65573
1562,637,-0.62271,-0.62806
1612,807,-0.6204,-0.28883
1602,787,-0.61889,-1.3369
1702,837,-0.61441,-0.62458
1622,737,-0.59885,-1.2471
1682,797,-0.57455,0.4164
1572,747,-0.54764,-0.98411
1672,797,-0.51935,-0.1078
1592,677,-0.51543,-1.0978
1552,717,-0.50968,-0.75889
1572,627,-0.48501,-0.47682
1642,757,-0.4264,-1.0434
1712,777,-0.39881,1.043
1662,867,-0.3901,-1.0344
1662,777,-0.38757,-0.30785
1612,717,-0.37682,-1.489
1692,787,-0.36954,0.84719
1522,587,-0.31786,-0.22662
1702,787,-0.2616,1.0287
1602,667,-0.24507,-0.74026
1722,777,-0.17662,0.40048
1672,777,-0.16718,0.28187
1632,737,-0.13803,-0.87073
1622,707,-0.10128,-1.1859
1682,767,-0.079585,0.52343
1722,737,0.0028154,0.17025
1762,867,0.0031739,0.045517
1712,747,0.025906,0.89391
1612,667,0.053737,-0.29591
1682,757,0.056369,0.8703
1732,767,0.061971,-0.21736
1712,837,0.098645,0.1125
1652,757,0.15731,-0.23549
1742,817,0.20948,-0.45362
1732,767,0.21268,-0.13499
1722,827,0.22691,0.0046224
1622,657,0.27175,-0.12903
1692,757,0.29795,1.1137
1632,707,0.30306,-0.599
1732,827,0.30928,-0.11716
1702,747,0.31268,1.1886
1702,717,0.38039,1.0598
1622,647,0.42221,-0.16041
1642,727,0.45466,-0.41007
1692,727,0.49663,0.75588
1692,687,0.54851,0.73231
1642,697,0.59265,-0.38755
1662,747,0.61353,-0.39339
1652,717,0.64598,-0.40558
1672,667,0.66735,0.62564
1642,697,0.69228,-0.079261
1682,697,0.70669,0.65935
1672,677,0.75204,0.47227
1682,727,0.7676,0.40098
1662,747,0.7842,-0.21517
1672,737,0.79138,0.14472
1662,677,0.84903,0.21218
1652,687,0.85062,0.13464
1662,707,0.85217,0.20017
1672,707,0.87364,0.50443
1652,717,0.97759,-0.16484
